"district","hour","act1","act2","act3","act4","act5"
"033","9am",3780.982,2576.1534,1568.4407,1048.3391,305.0863
"034","9am",4185.501,3827.2702,142.8838,159.0744,584.8943
"035","9am",5309.399,2978.8714,1949.0924,546.5899,501.796
"036","9am",7328.433,1835.805,479.7461,548.9187,1064.8592
"037","9am",3961.798,5726.685,2016.3717,248.2759,103.5749
"038","9am",7120.095,8714.8423,697.5892,1159.5475,745.6786
"039","9am",3042.252,1461.5346,0,174.963,433.8873
"040","9am",5230.105,1910.6666,200.0888,171.5291,300.7821
"041","9am",7275.03,4267.2906,116.8391,462.9113,1668.253
"042","9am",3548.139,2718.1534,23.9264,119.6593,189.1908
"043","9am",5996.425,1514.3082,0,330.8058,798.363
"044","9am",4441.637,1753.8999,30.0296,135.5822,678.4863
"045","9am",3781.175,1651.272,311.8932,109.5776,190.7548
"046","9am",3531.57,7890.635,1182.4735,1083.4903,702.9162
"047","9am",3953.822,2697.9056,2702.596,379.4898,291.1566
"048","9am",2725.379,710.6034,0,145.3454,79.4488
"049","9am",5232.222,4460.553,82.4662,2179.6659,323.0886
"050","9am",8395.964,3361.631,186.1547,639.3742,277.0919
"051","9am",8159.721,2105.3311,0,382.3459,295.9219
"052","9am",5063.424,2171.1413,0,767.9096,299.0477
"053","9am",6080.543,1543.8302,403.6081,137.9642,366.2962
"054","9am",9720.068,5824.1979,1409.0701,649.3965,1681.2774
"055","9am",4824.974,785.8177,190.5888,0,0
"056","9am",4027.284,2540.1086,172.7046,516.7475,386.8864
"057","9am",5052.896,1673.9741,0,80.8624,213.5374
"058","9am",3055.243,686.9218,200.8745,0,210.5407
"059","9am",5047.453,1269.055,49.2288,400.8769,532.2595
"060","9am",5326.855,499.1564,0,78.7033,180.1121
"061","9am",8239.073,956.2479,0,102.9751,183.2273
"062","9am",7429.142,3011.6371,659.8,275.2314,507.8258
"063","9am",2308.052,88.8917,0,0,0
"064","9am",7658.81,2590.5022,124.8374,227.8125,451.2115
"065","9am",4869.789,1817.6077,0,79.288,372.2122
"066","9am",5113.256,4304.5653,0,206.1584,316.0998
"001","10am",3766.941,4337.6019,1458.6,820.3159,1725.3505
"002","10am",6309.14,12511.8612,14140.6217,4337.7522,2942.9011
"003","10am",8378.467,9133.0748,2131.8882,480.3392,1294.0721
"004","10am",5083.32,7967.0895,2295.9628,1375.3325,1832.1256
"005","10am",6325.12,4037.4243,1166.7913,284.3729,695.5223
"006","10am",6269.628,6544.1096,547.1405,576.7414,596.292
"007","10am",4899.82,2351.1858,1888.0318,165.6534,462.2334
"008","10am",6491.163,4293.6571,239.3041,517.9639,1052.5685
"009","10am",5892.442,2915.0515,2003.1967,0,360.9958
"010","10am",6500.735,2441.2868,43.2907,85.1091,466.2043
"011","10am",7302.584,2890.067,454.5185,204.7414,753.2
"012","10am",2957.644,866.3547,53.0817,123.075,368.4595
"013","10am",8082.701,6808.7907,1841.1807,740.0074,1438.7376
"014","10am",2342.677,1607.7327,360.4977,135.955,37.661
"015","10am",5944.477,1829.035,0,461.9004,694.2697
"016","10am",4538.557,2530.3127,4132.6785,551.9914,1028.9348
"017","10am",1870.968,5760.4659,1366.2945,594.0897,643.5101
"018","10am",1841.683,4820.8666,110.621,246.9743,806.2623
"019","10am",5525.389,1987.3934,570.1281,0,771.1847
"020","10am",7919.552,2995.1082,1904.7081,339.4435,679.5648
"021","10am",4996.071,3883.632,2125.9481,2194.2979,769.4229
"022","10am",5530.599,1795.0648,63.672,298.7155,353.9907
"023","10am",6852.126,16942.7589,1610.3028,919.6113,812.473
"024","10am",5058.446,6660.6877,18265.8921,0,587.1364
"025","10am",2658.903,10704.7338,142.0954,823.36,536.1198
"026","10am",2708.39,1862.3522,53.0817,0,123.8886
"027","10am",5473.882,4286.4171,311.0216,846.1314,1314.3269
"028","10am",4559.849,14888.7853,9155.9654,74.375,987.7074
"029","10am",4024.251,20289.424,1292.6418,593.2392,235.7108
"030","10am",6506.894,24568.0916,2746.7798,1279.3944,840.7839
"031","10am",4891.841,2475.4768,181.4246,187.961,273.8588
"032","10am",5222.07,5703.508,955.6464,880.9727,662.1493
"033","10am",3441.674,2592.1907,1578.6596,1246.9299,304.3146
"034","10am",3843.49,3826.8534,142.8838,333.7016,643.3556
"035","10am",4657.984,2827.55,1913.2887,589.7849,1117.3786
"036","10am",6923.815,1850.1092,479.7461,385.3135,980.3001
"037","10am",3686.437,5834.5192,2016.3717,297.3036,216.8549
"038","10am",6663.195,9188.3932,697.5892,1431.6268,723.1438
"039","10am",2494.195,1571.6917,0,334.1157,829.6744
"040","10am",4991.534,1910.6666,200.0888,186.9128,314.4466
"041","10am",6612.539,4398.415,116.8391,851.9087,1837.2968
"042","10am",3238.56,2900.816,23.9264,375.836,188.0294
"043","10am",5719.511,1430.5393,0,246.5553,533.4567
"044","10am",4104.864,2098.0758,30.0296,153.3986,803.4522
"045","10am",3338.823,1771.4699,370.2336,137.0542,54.7888
"046","10am",3238.335,7949.5024,1438.1284,2049.9484,786.0666
"047","10am",3898.387,3108.7789,2672.5664,799.3747,247.8967
"048","10am",2178.953,627.6231,0,0,79.4488
"049","10am",4933.651,4678.1544,158.2164,3348.1952,927.279
"050","10am",7991.659,3259.4214,186.1547,116.1748,277.0919
"051","10am",8117.892,2119.5457,0,262.4063,606.6025
"052","10am",6211.158,2122.3716,0,541.1351,371.2051
"053","10am",5576.025,1519.8726,403.6081,323.4189,783.7031
"054","10am",8421.281,5819.1701,1339.8519,979.2549,1872.6474
"055","10am",4337.77,755.5811,190.5888,70.4071,82.4414
"056","10am",3530.325,2672.7762,172.7046,689.0525,593.9282
"057","10am",4650.966,1798.3919,0,80.8624,451.681
"058","10am",2484.259,579.4083,200.8745,0,278.4608
"059","10am",4442.779,1464.1598,49.2288,478.6856,524.035
"060","10am",4958.191,653.9653,0,247.3238,62.5888
"061","10am",7759.267,933.5354,0,102.9751,205.9502
"062","10am",7346.154,3081.5217,659.8,655.1798,457.8601
"063","10am",2254.085,160.1277,0,38.1464,60.8589
"064","10am",6891.48,2911.8537,124.8374,273.6909,498.4573
"065","10am",4552.958,1859.8669,0,137.5939,431.9254
"066","10am",4780.427,4083.5154,0,191.3369,381.9854
"001","11am",3815.888,4122.8182,1437.5575,314.8973,1202.7391
"002","11am",7561.963,12339.1287,13278.3351,2291.0631,4042.9994
"003","11am",8782.084,9367.2133,1930.9164,158.379,998.7661
"004","11am",5498.869,7663.5794,2201.1147,490.6341,1803.6886
"005","11am",7232.529,3855.073,1166.7913,132.5124,457.8916
"006","11am",6166.093,7200.6223,454.7237,285.0233,484.9523
"007","11am",5696.968,2235.3166,1888.0318,161.9568,372.4823
"008","11am",6438.835,4122.1058,239.3041,238.3757,755.0938
"009","11am",6649.986,2815.005,2003.1967,0,257.0726
"010","11am",6862.51,2345.4032,43.2907,174.3932,567.1857
"011","11am",8439.973,2703.9424,404.8187,93.0179,1186.5141
"012","11am",2964.028,929.3413,81.1838,66.6734,138.6941
"013","11am",8366.887,6650.441,1841.1807,525.1011,1005.9405
"014","11am",2740.14,1942.5457,360.4977,0,37.661
"015","11am",7065.038,1774.0753,0,171.0992,829.0591
"016","11am",5325.327,2412.0772,3811.6694,222.7547,1019.8933
"017","11am",1970.304,4975.1062,1366.2945,192.6135,997.0074
"018","11am",2258.154,4721.6047,110.621,210.2919,861.3336
"019","11am",5816.568,1855.9232,570.1281,0,901.2114
"020","11am",8883.223,2580.2546,1695.9323,115.8692,586.0301
"021","11am",5416.906,4282.3316,2125.9481,1483.7771,661.2765
"022","11am",5951.344,1714.7378,63.672,298.7155,210.0568
